"filename", "language", "JSON", "JSON with Comments", "XML", "HTML", "JavaScript", "CSS", "TypeScript", "Markdown", "MDX", "Log", "comment", "blank", "total"
"d:\Angular_App\Markdown_Storybook\storybook-static\sb-manager\chunk-AS2AMEUR.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Angular_App\Markdown_Storybook\storybook-static\sb-manager\chunk-F3MVQVF6.js", "JavaScript", 0, 0, 0, 0, 78, 0, 0, 0, 0, 0, 56, 74, 208
"d:\Angular_App\Markdown_Storybook\storybook-static\sb-manager\chunk-FENICTK6.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Angular_App\Markdown_Storybook\storybook-static\sb-manager\chunk-GQDEE62S.js", "JavaScript", 0, 0, 0, 0, 242, 0, 0, 0, 0, 0, 2, 163, 407
"d:\Angular_App\Markdown_Storybook\storybook-static\sb-manager\chunk-PUVLCKJJ.js", "JavaScript", 0, 0, 0, 0, 90, 0, 0, 0, 0, 0, 10, 41, 141
"d:\Angular_App\Markdown_Storybook\storybook-static\sb-manager\chunk-QPL63VNK.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Angular_App\Markdown_Storybook\storybook-static\sb-manager\formatter-S4K5WUZV-4LPR5OBX.js", "JavaScript", 0, 0, 0, 0, 146, 0, 0, 0, 0, 0, 0, 11, 157
"d:\Angular_App\Markdown_Storybook\storybook-static\sb-manager\globals.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Angular_App\Markdown_Storybook\storybook-static\sb-manager\index.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Angular_App\Markdown_Storybook\storybook-static\sb-manager\runtime.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Angular_App\Markdown_Storybook\storybook-static\sb-manager\syntaxhighlighter-QTQ2UBB4-F5YUFYAB.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Angular_App\Markdown_Storybook\storybook-static\sb-preview\globals.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Angular_App\Markdown_Storybook\storybook-static\sb-preview\runtime.js", "JavaScript", 0, 0, 0, 0, 85, 0, 0, 0, 0, 0, 2, 19, 106
"d:\Angular_App\Markdown_Storybook\tsconfig.app.json", "JSON", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 15
"d:\Angular_App\Markdown_Storybook\tsconfig.json", "JSON with Comments", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 34
"d:\Angular_App\Markdown_Storybook\tsconfig.spec.json", "JSON", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 15
"Total", "-", 42116, 43, 15, 105, 785, 146, 626, 14, 202, 481, 183, 626, 45342
